query_number,query_cursor,success,reviews_retrieved
1,*,1.0,100.0
2,AoIIQJ/pQnrh2Vk%3D,1.0,100.0
3,AoIIQJ/fRHXF1B0%3D,1.0,100.0
4,AoIIQJ/Je3/k2kU%3D,1.0,100.0
5,AoIIQJ%2BuSXvIvF0%3D,1.0,100.0
6,AoIIQJ%2BuSXXfpzg%3D,1.0,100.0
7,AoIIQJ%2BuSXjTqiE%3D,1.0,100.0
8,AoIIQJ%2BZ233PwCk%3D,1.0,100.0
9,AoIIQJ9c%2B3im/F8%3D,1.0,100.0
10,AoIIQJ9c%2B3Lx4Vk%3D,1.0,100.0
11,AoIIQJ9c%2B37n91M%3D,1.0,100.0
12,AoIIQJ9c%2B3nUyE8%3D,1.0,100.0
13,AoIIQJ9c%2B3j6tEs%3D,1.0,100.0
14,AoIIQJ9c%2B3iun0c%3D,1.0,100.0
15,AoIIQJ9c%2B3SelUM%3D,1.0,100.0
16,AoIIQJ9c%2B337nz8%3D,1.0,100.0
17,AoIIQJ9c%2B3ud%2BTs%3D,1.0,100.0
18,AoIIQJ9c%2B3yPsjc%3D,1.0,100.0
19,AoIIQJ9c%2B3vdhzQ%3D,1.0,100.0
20,AoIIQJ9c%2B3uy0DA%3D,1.0,100.0
21,AoIIQJ9c%2B3vX/Cw%3D,1.0,100.0
22,AoIIQJ9c%2B3TLlis%3D,1.0,100.0
23,AoIIQJ9c%2B3zk3Sg%3D,1.0,100.0
24,AoIIQJ9c%2B3jE4SY%3D,1.0,100.0
25,AoIIQJ9c%2B3rfjCU%3D,1.0,100.0
26,AoIIQJ9c%2B36evCI%3D,1.0,100.0
27,AoIIQJ9c%2B3LxnCA%3D,1.0,100.0
28,AoIIQJ9c%2B37/hR8%3D,1.0,100.0
29,AoIIQJ9c%2B3GM0h0%3D,1.0,100.0
30,AoIIQJ9c%2B3WQkBU%3D,1.0,100.0
31,AoIIQJ9c%2B3Kc0QM%3D,1.0,100.0
32,AoIIQJ88kHG%2BtCc%3D,1.0,100.0
33,AoIIQJ80N3u52U8%3D,1.0,100.0
34,AoIIQJ80N3COoEI%3D,1.0,100.0
35,AoIIQJ80N33QhzI%3D,1.0,100.0
36,AoIIQJ80N3ezmCg%3D,1.0,100.0
37,AoIIQJ80N36dzR8%3D,1.0,100.0
38,AoIIQJ8m/n/Mx0c%3D,1.0,100.0
39,AoIIQJ7buHiawig%3D,1.0,100.0
40,AoIIQJ67kHipoCs%3D,1.0,100.0
41,AoIIQJ6TA3Chnlg%3D,1.0,100.0
42,AoIIQJ5x73qJz04%3D,1.0,100.0
43,AoIIQJ2irXqOwBs%3D,1.0,100.0
44,AoIIP1wGjn2ViHQ%3D,1.0,100.0
45,AoIIP002k3jeiHc%3D,1.0,100.0
46,AoIIPz37UHOe6twB,1.0,100.0
47,AoIIPzKmwn7PzpUB,1.0,100.0
48,AoIIPyjhtXHZ3Q0%3D,1.0,100.0
